epoch,HR@10,NDCG@10,loss,run
0,0.0933,0.0414,,1
1,0.4019,0.2175,0.4687,1
2,0.492,0.2842,0.3345,1
3,0.526,0.2999,0.3142,1
4,0.5451,0.3083,0.2973,1
5,0.5652,0.3157,0.2864,1
6,0.5854,0.3294,0.28,1
7,0.6023,0.3408,0.2734,1
8,0.6151,0.3465,0.2676,1
9,0.6193,0.3495,0.2623,1
10,0.6405,0.3572,0.2582,1
11,0.6341,0.3576,0.2543,1
12,0.6384,0.3621,0.2514,1
13,0.6394,0.369,0.249,1
14,0.6426,0.3681,0.2475,1
15,0.6479,0.3735,0.2468,1
16,0.6416,0.3693,0.2449,1
17,0.6448,0.3697,0.2441,1
18,0.6469,0.376,0.2433,1
19,0.6458,0.3717,0.2417,1
20,0.6511,0.3756,0.2423,1
21,0.6511,0.3829,0.241,1
22,0.6479,0.3774,0.2406,1
23,0.6575,0.3824,0.2399,1
24,0.6469,0.3813,0.2399,1
25,0.6501,0.3848,0.2394,1
26,0.6522,0.3801,0.2382,1
27,0.6532,0.383,0.2381,1
28,0.6543,0.3819,0.2382,1
29,0.6522,0.3835,0.2385,1
30,0.6511,0.3765,0.238,1
31,0.6543,0.3777,0.2377,1
32,0.6522,0.3786,0.2377,1
33,0.6522,0.3876,0.2386,1
34,0.6511,0.3861,0.2373,1
35,0.6543,0.3828,0.2375,1
36,0.649,0.3849,0.2369,1
37,0.6554,0.3861,0.2364,1
38,0.6405,0.3835,0.2362,1
39,0.6384,0.3793,0.2366,1
40,0.6469,0.3849,0.236,1
41,0.6458,0.3838,0.236,1
42,0.6448,0.383,0.2355,1
43,0.6437,0.3766,0.2367,1
44,0.6458,0.3849,0.2356,1
45,0.6426,0.3851,0.236,1
46,0.6416,0.383,0.2359,1
47,0.6363,0.3811,0.2354,1
48,0.6426,0.3832,0.2354,1
49,0.6405,0.3851,0.2348,1
50,0.6437,0.3818,0.2355,1
0,0.105,0.0464,,2
1,0.4252,0.2365,0.4695,2
2,0.527,0.2986,0.3184,2
3,0.561,0.3101,0.2958,2
4,0.5832,0.3229,0.2881,2
5,0.5843,0.331,0.2801,2
6,0.5992,0.337,0.2736,2
7,0.6151,0.3485,0.2685,2
8,0.6151,0.3483,0.264,2
9,0.614,0.3492,0.2601,2
10,0.6225,0.3514,0.2572,2
11,0.6278,0.3577,0.255,2
12,0.6246,0.3609,0.2524,2
13,0.632,0.363,0.2506,2
14,0.6331,0.3639,0.2498,2
15,0.6331,0.3644,0.2482,2
16,0.6288,0.3643,0.2465,2
17,0.6405,0.3689,0.2456,2
18,0.6363,0.3643,0.244,2
19,0.6384,0.3667,0.243,2
20,0.6437,0.3684,0.2433,2
21,0.6501,0.3718,0.2411,2
22,0.6416,0.3701,0.2407,2
23,0.649,0.3732,0.2411,2
24,0.6458,0.3701,0.2406,2
