epoch,HR@10,NDCG@10,loss,run
0,0.1241,0.0592,,1
1,0.404,0.2205,0.3844,1
2,0.3977,0.2188,0.353,1
3,0.4677,0.264,0.3478,1
4,0.5027,0.2823,0.329,1
5,0.5122,0.2909,0.3172,1
6,0.5292,0.2982,0.3112,1
7,0.5536,0.3126,0.3052,1
8,0.5599,0.317,0.3014,1
9,0.5748,0.3237,0.2955,1
10,0.5748,0.3198,0.291,1
11,0.5705,0.3274,0.2868,1
12,0.5843,0.3357,0.2835,1
13,0.5896,0.337,0.2804,1
14,0.6002,0.3397,0.2772,1
15,0.5981,0.3382,0.2751,1
16,0.6087,0.3417,0.2723,1
17,0.6045,0.3382,0.2704,1
18,0.6076,0.3462,0.2682,1
19,0.596,0.3423,0.2669,1
20,0.6151,0.349,0.2643,1
21,0.6076,0.3429,0.2633,1
22,0.6066,0.3495,0.2617,1
23,0.614,0.3509,0.2607,1
24,0.6193,0.3452,0.2591,1
25,0.6161,0.3532,0.2573,1
26,0.6045,0.3491,0.2557,1
27,0.6161,0.3518,0.2547,1
28,0.6246,0.3564,0.2531,1
29,0.6193,0.3512,0.2531,1
30,0.6267,0.3599,0.2515,1
31,0.6182,0.3485,0.2502,1
32,0.6204,0.3562,0.2488,1
33,0.6204,0.3605,0.2475,1
34,0.6267,0.3624,0.2463,1
35,0.6235,0.3624,0.2453,1
36,0.6352,0.3612,0.2445,1
37,0.6235,0.3578,0.2438,1
38,0.6267,0.3626,0.2447,1
39,0.6437,0.3627,0.2423,1
40,0.6278,0.3543,0.2412,1
41,0.6288,0.3627,0.241,1
42,0.6257,0.3598,0.2402,1
43,0.631,0.3645,0.2389,1
44,0.632,0.359,0.239,1
45,0.6299,0.3612,0.2379,1
46,0.6352,0.3649,0.2388,1
47,0.6341,0.3609,0.237,1
48,0.6352,0.3629,0.2363,1
49,0.6214,0.3605,0.2353,1
50,0.6384,0.3693,0.2355,1
0,0.106,0.0432,,2
1,0.4093,0.2231,0.3787,2
2,0.3987,0.2214,0.3531,2
3,0.4772,0.2707,0.3463,2
4,0.5228,0.2983,0.3238,2
5,0.5345,0.3077,0.3111,2
6,0.5398,0.3069,0.3054,2
7,0.5578,0.315,0.3014,2
8,0.5578,0.3196,0.2969,2
9,0.5546,0.3205,0.2917,2
10,0.5726,0.3222,0.286,2
11,0.5854,0.3292,0.2825,2
12,0.579,0.3276,0.2797,2
13,0.5864,0.3324,0.2761,2
14,0.5885,0.3327,0.2731,2
15,0.5822,0.3315,0.2708,2
16,0.6076,0.3397,0.2683,2
17,0.6087,0.3412,0.2655,2
18,0.5992,0.3426,0.2633,2
19,0.6034,0.3449,0.2615,2
20,0.6013,0.3433,0.2587,2
21,0.6129,0.3465,0.2567,2
22,0.6288,0.3549,0.2553,2
23,0.614,0.3534,0.2524,2
24,0.6172,0.3487,0.2508,2
25,0.6235,0.3541,0.2489,2
26,0.6288,0.3609,0.247,2
27,0.632,0.3568,0.246,2
28,0.632,0.3608,0.244,2
29,0.6341,0.3597,0.2428,2
30,0.6373,0.3632,0.2408,2
31,0.631,0.3607,0.2393,2
32,0.6394,0.3625,0.2377,2
33,0.6352,0.3601,0.2372,2
34,0.6458,0.3652,0.2367,2
35,0.6352,0.3607,0.2348,2
36,0.6394,0.3632,0.2343,2
