epoch,HR@10,NDCG@10,loss,run
0,0.1188,0.0531,,1
1,0.4761,0.2741,0.368,1
2,0.5779,0.3267,0.2979,1
3,0.596,0.3426,0.2717,1
4,0.6129,0.3521,0.2579,1
5,0.6394,0.3677,0.248,1
6,0.6437,0.3729,0.2414,1
7,0.649,0.382,0.2343,1
8,0.6554,0.3783,0.2292,1
9,0.6511,0.3802,0.2241,1
10,0.6617,0.3833,0.2199,1
11,0.6522,0.379,0.215,1
12,0.6405,0.371,0.2109,1
13,0.6426,0.3672,0.207,1
14,0.6511,0.3731,0.2036,1
15,0.6405,0.3671,0.2001,1
16,0.6341,0.356,0.1968,1
17,0.632,0.3595,0.1943,1
18,0.649,0.3665,0.1907,1
19,0.6363,0.3638,0.1883,1
20,0.6394,0.3653,0.1862,1
21,0.6331,0.3615,0.1833,1
22,0.6246,0.36,0.1804,1
23,0.6225,0.3556,0.1791,1
24,0.6204,0.3569,0.1757,1
25,0.6246,0.3585,0.1744,1
26,0.6193,0.3508,0.1725,1
27,0.6225,0.3569,0.1709,1
28,0.6108,0.3535,0.169,1
29,0.6204,0.3571,0.1665,1
30,0.6246,0.3572,0.1647,1
31,0.6172,0.3522,0.1638,1
32,0.6182,0.3509,0.1616,1
33,0.6214,0.3481,0.1609,1
34,0.6246,0.3523,0.1601,1
35,0.6172,0.3454,0.1581,1
36,0.614,0.3486,0.1564,1
37,0.6151,0.3487,0.1548,1
38,0.6034,0.3383,0.1544,1
39,0.6235,0.3489,0.1525,1
40,0.6108,0.3437,0.1521,1
41,0.6119,0.3418,0.1505,1
42,0.6087,0.3432,0.1506,1
43,0.6023,0.342,0.1486,1
44,0.6002,0.3481,0.1481,1
45,0.6002,0.3453,0.1481,1
46,0.6034,0.3395,0.1466,1
47,0.6098,0.3495,0.1456,1
48,0.6045,0.3435,0.1444,1
49,0.5992,0.3439,0.1442,1
50,0.6161,0.3509,0.1429,1
0,0.1113,0.048,,2
1,0.4899,0.2792,0.3654,2
2,0.562,0.3182,0.2995,2
3,0.5843,0.3259,0.2779,2
4,0.6235,0.3499,0.2619,2
5,0.6267,0.3552,0.2507,2
6,0.6373,0.3683,0.2414,2
7,0.6416,0.3683,0.2341,2
8,0.6448,0.3761,0.2273,2
9,0.6554,0.384,0.2218,2
10,0.6638,0.3883,0.2176,2
11,0.6511,0.379,0.2135,2
12,0.6437,0.3796,0.2086,2
13,0.6511,0.3853,0.2048,2
14,0.6543,0.3863,0.2006,2
15,0.6405,0.3744,0.1971,2
16,0.6384,0.3818,0.1936,2
17,0.6394,0.3797,0.1906,2
18,0.6416,0.3772,0.1885,2
19,0.6426,0.3751,0.1853,2
20,0.6373,0.3793,0.1824,2
21,0.6416,0.376,0.1814,2
22,0.6288,0.3676,0.1783,2
23,0.6352,0.3724,0.1758,2
24,0.6448,0.3781,0.1733,2
25,0.6363,0.369,0.1718,2
26,0.6373,0.3757,0.1693,2
27,0.6267,0.3677,0.1675,2
28,0.6225,0.367,0.1652,2
29,0.6225,0.3652,0.1642,2
30,0.6257,0.3614,0.1626,2
31,0.6299,0.3673,0.1609,2
32,0.6363,0.3699,0.1606,2
33,0.6299,0.3605,0.1585,2
34,0.6288,0.3588,0.1566,2
35,0.6278,0.3614,0.1563,2
36,0.6204,0.3634,0.155,2
37,0.6257,0.3618,0.1535,2
38,0.6235,0.3582,0.1528,2
39,0.6341,0.3592,0.1523,2
40,0.6246,0.3617,0.1496,2
41,0.6172,0.3578,0.1497,2
42,0.6108,0.3525,0.1481,2
43,0.6214,0.3627,0.1473,2
44,0.6225,0.3578,0.1469,2
45,0.6129,0.3498,0.1456,2
46,0.614,0.3551,0.1446,2
47,0.6235,0.3549,0.1433,2
48,0.614,0.3547,0.1432,2
49,0.6098,0.352,0.1413,2
50,0.6204,0.3595,0.1425,2
0,0.0976,0.042,,3
1,0.4857,0.278,0.3649,3
2,0.5567,0.3225,0.2968,3
3,0.6023,0.3441,0.2752,3
4,0.6214,0.3548,0.2613,3
5,0.6235,0.3593,0.2489,3
6,0.631,0.3616,0.2402,3
7,0.6363,0.3666,0.2322,3
8,0.6607,0.378,0.2264,3
9,0.649,0.377,0.2212,3
10,0.6405,0.3712,0.2157,3
11,0.6501,0.3713,0.2114,3
12,0.6426,0.3798,0.2078,3
13,0.6416,0.3721,0.2035,3
14,0.6405,0.3715,0.2001,3
15,0.6437,0.3766,0.1965,3
16,0.6554,0.3805,0.1935,3
17,0.6331,0.3695,0.1909,3
18,0.6352,0.3629,0.1883,3
19,0.6448,0.3701,0.1846,3
20,0.6363,0.3701,0.1821,3
21,0.6511,0.3705,0.1798,3
22,0.6458,0.373,0.1781,3
23,0.6267,0.36,0.1753,3
24,0.6479,0.3714,0.1736,3
25,0.632,0.3647,0.1707,3
26,0.6299,0.3608,0.169,3
27,0.6405,0.3641,0.168,3
28,0.6363,0.3702,0.1647,3
29,0.6278,0.3706,0.1636,3
30,0.6394,0.371,0.1616,3
31,0.631,0.3651,0.1601,3
32,0.6331,0.361,0.1586,3
33,0.6363,0.3685,0.1575,3
34,0.632,0.3657,0.1557,3
35,0.632,0.3617,0.1544,3
36,0.6246,0.3575,0.153,3
37,0.614,0.3589,0.1519,3
38,0.6161,0.3546,0.1511,3
39,0.6013,0.3471,0.1505,3
40,0.6066,0.3536,0.1494,3
41,0.6087,0.3568,0.1477,3
42,0.6119,0.3501,0.1479,3
43,0.6023,0.3481,0.1455,3
44,0.6066,0.3507,0.1449,3
45,0.614,0.3505,0.1445,3
46,0.6055,0.3488,0.1423,3
47,0.6225,0.3589,0.1418,3
48,0.6076,0.3525,0.1412,3
49,0.5917,0.3455,0.1414,3
50,0.6055,0.3445,0.1402,3
0,0.106,0.0494,,4
1,0.4624,0.2637,0.3703,4
2,0.5663,0.3215,0.3044,4
3,0.6098,0.3435,0.2769,4
4,0.6119,0.3536,0.2628,4
5,0.6352,0.3646,0.2517,4
6,0.6426,0.365,0.2436,4
7,0.6426,0.3699,0.237,4
8,0.6575,0.3809,0.2316,4
9,0.649,0.3787,0.2279,4
10,0.6617,0.3901,0.223,4
11,0.6585,0.3894,0.2187,4
12,0.6511,0.3879,0.215,4
13,0.6543,0.3875,0.2113,4
14,0.6575,0.3915,0.2076,4
15,0.6564,0.3858,0.2036,4
16,0.6596,0.3907,0.2005,4
17,0.6543,0.3843,0.1968,4
18,0.6469,0.3772,0.1949,4
19,0.6437,0.3769,0.1903,4
20,0.6394,0.3741,0.1878,4
21,0.6278,0.3718,0.186,4
22,0.6416,0.379,0.1832,4
23,0.6448,0.3754,0.1802,4
24,0.6458,0.3759,0.178,4
25,0.6182,0.3589,0.1756,4
26,0.6161,0.3607,0.174,4
27,0.6204,0.3631,0.1713,4
28,0.6214,0.3688,0.1693,4
29,0.6267,0.3699,0.1692,4
30,0.6172,0.3663,0.1656,4
31,0.6161,0.3641,0.1642,4
32,0.6278,0.3648,0.1627,4
33,0.6151,0.3641,0.1616,4
34,0.6098,0.36,0.1597,4
35,0.6204,0.3682,0.1576,4
36,0.6013,0.3554,0.1576,4
37,0.6204,0.3579,0.1558,4
38,0.6246,0.3623,0.1544,4
39,0.6151,0.3609,0.1534,4
40,0.614,0.3602,0.153,4
41,0.6066,0.3589,0.1507,4
42,0.6034,0.3574,0.1502,4
43,0.6119,0.3553,0.1496,4
44,0.6066,0.3619,0.149,4
45,0.6023,0.3554,0.1469,4
46,0.6193,0.3625,0.1474,4
47,0.6129,0.3588,0.146,4
48,0.6034,0.3518,0.1454,4
49,0.597,0.3558,0.1439,4
50,0.597,0.3477,0.1437,4
0,0.1283,0.0578,,5
1,0.4942,0.2784,0.3659,5
2,0.5695,0.3214,0.2983,5
3,0.6066,0.343,0.2763,5
4,0.614,0.3498,0.2628,5
5,0.6405,0.3681,0.2533,5
6,0.6448,0.3642,0.2435,5
7,0.6479,0.3685,0.2371,5
8,0.6501,0.3766,0.2303,5
9,0.6607,0.3774,0.2255,5
10,0.6479,0.3745,0.2202,5
11,0.6585,0.3814,0.216,5
12,0.649,0.3656,0.2113,5
13,0.6426,0.3703,0.2083,5
14,0.6479,0.3719,0.2045,5
15,0.6554,0.3773,0.2017,5
16,0.6448,0.3794,0.1972,5
17,0.6511,0.3726,0.1946,5
18,0.6596,0.3726,0.1912,5
19,0.6458,0.3686,0.1884,5
20,0.6522,0.3733,0.1862,5
21,0.6341,0.3637,0.1834,5
22,0.6341,0.3629,0.1815,5
23,0.6373,0.3613,0.1783,5
24,0.6373,0.3637,0.1767,5
25,0.6469,0.3629,0.1741,5
26,0.6448,0.367,0.1726,5
27,0.6394,0.3602,0.171,5
28,0.6331,0.3627,0.1682,5
29,0.6225,0.3603,0.1674,5
30,0.6182,0.3619,0.1654,5
31,0.6214,0.3597,0.1634,5
32,0.6225,0.3537,0.1625,5
33,0.6288,0.3592,0.1621,5
34,0.6352,0.3627,0.1592,5
35,0.6257,0.3635,0.1579,5
36,0.6108,0.3582,0.1572,5
37,0.6182,0.3534,0.1556,5
38,0.6363,0.3653,0.1548,5
39,0.6288,0.3641,0.153,5
40,0.6257,0.3581,0.1524,5
41,0.6193,0.3615,0.1508,5
42,0.6204,0.3606,0.1503,5
43,0.6267,0.3628,0.149,5
44,0.6235,0.3552,0.1481,5
45,0.6278,0.3668,0.1484,5
46,0.631,0.3668,0.1469,5
47,0.6278,0.3605,0.1454,5
48,0.6235,0.3678,0.1451,5
49,0.6161,0.3624,0.1434,5
50,0.6204,0.364,0.1432,5
0,0.0933,0.0453,,6
1,0.4889,0.2779,0.3685,6
2,0.5801,0.3318,0.2969,6
3,0.6055,0.3421,0.2747,6
4,0.6172,0.3527,0.2604,6
5,0.6416,0.3634,0.2499,6
6,0.6426,0.3677,0.242,6
7,0.6532,0.3722,0.2345,6
8,0.6522,0.3767,0.2294,6
9,0.6416,0.3687,0.2242,6
10,0.6575,0.3814,0.2191,6
11,0.6564,0.3799,0.2152,6
12,0.666,0.3831,0.2097,6
13,0.6607,0.3827,0.2064,6
14,0.6607,0.3802,0.2027,6
15,0.6564,0.3862,0.1988,6
16,0.6554,0.3793,0.1961,6
17,0.6501,0.3768,0.1921,6
18,0.6607,0.376,0.1895,6
19,0.6543,0.3781,0.1867,6
20,0.649,0.3775,0.1833,6
21,0.6479,0.376,0.1806,6
22,0.6405,0.3782,0.1783,6
23,0.6331,0.3753,0.1773,6
24,0.631,0.3689,0.1733,6
25,0.6416,0.3683,0.1723,6
26,0.6299,0.3625,0.1692,6
27,0.6235,0.3702,0.1679,6
28,0.6267,0.3711,0.1653,6
29,0.6246,0.3638,0.1644,6
30,0.6288,0.3687,0.1619,6
31,0.6257,0.3677,0.1605,6
32,0.6098,0.3653,0.1589,6
33,0.6246,0.3659,0.1579,6
34,0.6225,0.3715,0.1573,6
35,0.6278,0.3651,0.1548,6
36,0.6288,0.3684,0.1541,6
37,0.6331,0.3724,0.154,6
38,0.6363,0.3705,0.1512,6
39,0.6225,0.3702,0.1503,6
40,0.6151,0.3645,0.1497,6
41,0.6235,0.3659,0.1481,6
42,0.6151,0.363,0.1466,6
43,0.6129,0.3713,0.1463,6
44,0.6108,0.3609,0.146,6
45,0.6087,0.3658,0.1442,6
46,0.6182,0.3627,0.1441,6
47,0.6034,0.3575,0.1435,6
48,0.6151,0.3614,0.1418,6
49,0.6055,0.3623,0.1424,6
50,0.6225,0.3684,0.1406,6
0,0.0944,0.0426,,7
1,0.4624,0.2584,0.3687,7
2,0.5737,0.3196,0.3028,7
3,0.5917,0.3345,0.2764,7
4,0.6098,0.3475,0.2629,7
5,0.6299,0.362,0.2528,7
6,0.631,0.3653,0.2441,7
7,0.6448,0.3739,0.2381,7
8,0.6479,0.376,0.2313,7
9,0.6543,0.3818,0.2262,7
10,0.6437,0.3808,0.2222,7
11,0.6469,0.3814,0.2179,7
12,0.6511,0.3795,0.2142,7
13,0.6373,0.378,0.2102,7
14,0.6501,0.379,0.2071,7
15,0.6607,0.3827,0.2035,7
16,0.6405,0.3772,0.1998,7
17,0.6416,0.3764,0.1973,7
18,0.6511,0.3798,0.1946,7
19,0.649,0.3845,0.1917,7
20,0.6352,0.374,0.1889,7
21,0.6416,0.3824,0.1863,7
22,0.6426,0.3864,0.1839,7
23,0.631,0.3805,0.1814,7
24,0.6278,0.37,0.1801,7
25,0.6257,0.3732,0.177,7
26,0.6246,0.3703,0.1746,7
27,0.6352,0.3713,0.1728,7
28,0.6278,0.3667,0.1713,7
29,0.6225,0.3612,0.1694,7
30,0.6246,0.3718,0.1673,7
31,0.6246,0.3677,0.1658,7
32,0.6278,0.3677,0.1642,7
33,0.6257,0.3669,0.1627,7
34,0.6341,0.3687,0.1615,7
35,0.6363,0.3737,0.1599,7
36,0.6204,0.3642,0.1592,7
37,0.6278,0.3652,0.1579,7
38,0.6299,0.3635,0.1565,7
39,0.6204,0.3652,0.1549,7
40,0.6161,0.3605,0.1535,7
41,0.6288,0.3638,0.1525,7
42,0.6119,0.3601,0.1521,7
43,0.6182,0.3617,0.1509,7
44,0.6161,0.3631,0.1505,7
45,0.6172,0.3608,0.1488,7
46,0.632,0.3613,0.1484,7
47,0.6225,0.3664,0.1469,7
48,0.6161,0.363,0.1472,7
49,0.6235,0.3644,0.1453,7
50,0.6161,0.3663,0.1448,7
0,0.0997,0.0486,,8
1,0.4984,0.2823,0.3654,8
2,0.5769,0.3198,0.298,8
3,0.5981,0.3339,0.2782,8
4,0.6182,0.3479,0.2647,8
5,0.631,0.3559,0.2533,8
6,0.6341,0.3633,0.2446,8
7,0.6448,0.3743,0.2375,8
8,0.6458,0.3729,0.231,8
9,0.6543,0.3811,0.2251,8
10,0.6575,0.3819,0.2194,8
11,0.6596,0.3793,0.2152,8
12,0.6458,0.3765,0.21,8
13,0.649,0.3802,0.207,8
14,0.6543,0.3766,0.2025,8
15,0.6416,0.3753,0.1985,8
16,0.6543,0.3766,0.1955,8
17,0.6554,0.3737,0.1922,8
18,0.6596,0.3754,0.1896,8
19,0.6426,0.373,0.1867,8
20,0.6532,0.3765,0.1842,8
21,0.6501,0.3756,0.182,8
22,0.6373,0.3667,0.1796,8
23,0.6405,0.3675,0.1771,8
24,0.6373,0.3646,0.175,8
25,0.6522,0.3691,0.174,8
26,0.6341,0.3543,0.1703,8
27,0.6437,0.3585,0.1692,8
28,0.6458,0.3577,0.1667,8
29,0.6341,0.3588,0.1662,8
30,0.6299,0.3614,0.1648,8
31,0.6363,0.3556,0.1627,8
32,0.6267,0.3623,0.1612,8
33,0.6394,0.3598,0.1598,8
34,0.6161,0.3446,0.159,8
35,0.6235,0.3569,0.1573,8
36,0.6246,0.3572,0.157,8
37,0.6204,0.3581,0.1563,8
38,0.6257,0.3594,0.1539,8
39,0.6267,0.3626,0.1531,8
40,0.6214,0.3585,0.1515,8
41,0.6182,0.3581,0.1509,8
42,0.6214,0.3559,0.1505,8
43,0.6225,0.3562,0.1485,8
44,0.6193,0.3577,0.1488,8
45,0.6214,0.3529,0.1471,8
46,0.6034,0.3474,0.1462,8
47,0.6161,0.3522,0.1455,8
48,0.6087,0.3469,0.1444,8
49,0.6182,0.3457,0.1445,8
50,0.614,0.3472,0.1435,8
0,0.0954,0.0426,,9
1,0.4666,0.266,0.3675,9
2,0.5737,0.3227,0.2999,9
3,0.5843,0.3327,0.2768,9
4,0.6108,0.3521,0.2617,9
5,0.6278,0.3589,0.2506,9
6,0.6479,0.3738,0.2413,9
7,0.6501,0.3763,0.2343,9
8,0.6649,0.3778,0.2269,9
9,0.6638,0.3809,0.2214,9
10,0.6479,0.3733,0.2163,9
11,0.6416,0.3804,0.2116,9
12,0.6469,0.3777,0.2077,9
13,0.6331,0.3747,0.2035,9
14,0.6522,0.3805,0.2002,9
15,0.6416,0.3795,0.1964,9
16,0.6617,0.388,0.193,9
17,0.6469,0.3788,0.1901,9
18,0.6543,0.3757,0.1867,9
19,0.6532,0.3811,0.1839,9
20,0.6522,0.3783,0.1818,9
21,0.6373,0.3708,0.1788,9
22,0.6373,0.3724,0.1754,9
23,0.6394,0.3807,0.1743,9
24,0.6257,0.365,0.1718,9
25,0.6331,0.3705,0.1707,9
26,0.6235,0.3669,0.168,9
27,0.6299,0.3688,0.1671,9
28,0.6204,0.3693,0.1642,9
29,0.631,0.3722,0.1627,9
30,0.614,0.365,0.1617,9
31,0.6267,0.3736,0.1596,9
32,0.6267,0.3621,0.1584,9
33,0.6204,0.3578,0.157,9
34,0.6246,0.3655,0.1549,9
35,0.6299,0.3638,0.1536,9
36,0.6214,0.3646,0.1528,9
37,0.6225,0.3674,0.1522,9
38,0.6193,0.3665,0.1504,9
39,0.614,0.3576,0.1493,9
40,0.6087,0.3599,0.1482,9
41,0.6151,0.3589,0.1472,9
42,0.6161,0.3615,0.146,9
43,0.6108,0.3543,0.1457,9
44,0.6098,0.3524,0.144,9
45,0.6098,0.3543,0.1441,9
46,0.6002,0.351,0.1422,9
47,0.6066,0.3561,0.1427,9
48,0.6034,0.3517,0.1408,9
49,0.6023,0.3534,0.1404,9
50,0.5938,0.3447,0.1388,9
0,0.0965,0.0466,,10
1,0.4687,0.2651,0.369,10
2,0.5695,0.3213,0.3017,10
3,0.614,0.3473,0.276,10
4,0.631,0.3575,0.2604,10
5,0.649,0.3692,0.2489,10
6,0.6575,0.3744,0.242,10
7,0.6511,0.3751,0.2355,10
8,0.666,0.3806,0.2295,10
9,0.6617,0.3816,0.2247,10
10,0.6575,0.3791,0.2204,10
11,0.6628,0.3821,0.2158,10
12,0.6596,0.3811,0.2117,10
13,0.6691,0.3773,0.2078,10
14,0.6479,0.378,0.2043,10
15,0.6479,0.3723,0.1999,10
16,0.6543,0.373,0.1966,10
17,0.649,0.3723,0.1934,10
18,0.6458,0.3733,0.1913,10
19,0.6479,0.3719,0.1885,10
20,0.6469,0.3726,0.1856,10
21,0.6522,0.3718,0.1827,10
22,0.6405,0.3694,0.181,10
23,0.6384,0.3726,0.1772,10
24,0.6448,0.3727,0.176,10
25,0.6363,0.3687,0.1744,10
26,0.6299,0.3688,0.1718,10
27,0.631,0.3692,0.17,10
28,0.6225,0.3653,0.1682,10
29,0.6193,0.3596,0.1664,10
30,0.6267,0.3615,0.1647,10
31,0.6299,0.3626,0.1633,10
32,0.6257,0.3589,0.1606,10
33,0.614,0.3513,0.1596,10
