Run,Config,Pretrain,HR@10,NDCG@10
1,1 Layer,0,0.6861,0.4059
1,2 Layers,0,0.667,0.3806
1,3 Layers,0,0.6564,0.3754
1,1 Layer,1,0.6522,0.3925
1,2 Layers,1,0.6575,0.3881
2,1 Layer,0,0.6787,0.4014
2,2 Layers,0,0.6638,0.3766
2,3 Layers,0,0.6744,0.3908
2,1 Layer,1,0.685,0.3934
2,2 Layers,1,0.6808,0.3891
2,3 Layers,1,0.6691,0.3878
3,1 Layer,0,0.666,0.3794
3,2 Layers,0,0.6776,0.39
3,3 Layers,0,0.6702,0.3894
3,1 Layer,1,0.6797,0.3957
3,2 Layers,1,0.6787,0.395
4,1 Layer,0,0.6744,0.3936
4,2 Layers,0,0.6638,0.3812
4,3 Layers,0,0.6607,0.3827
4,1 Layer,1,0.6734,0.3935
4,2 Layers,1,0.6723,0.3888
5,1 Layer,0,0.6649,0.3898
5,2 Layers,0,0.6744,0.3852
5,3 Layers,0,0.6532,0.3843
5,1 Layer,1,0.684,0.3962
5,2 Layers,1,0.6797,0.3957
6,1 Layer,0,0.6861,0.3976
6,2 Layers,0,0.6691,0.3876
6,3 Layers,0,0.6617,0.3882
6,1 Layer,1,0.6638,0.3854
6,2 Layers,1,0.6766,0.3893
6,3 Layers,1,0.667,0.3884
7,1 Layer,0,0.6713,0.3939
7,2 Layers,0,0.6776,0.3918
7,3 Layers,0,0.667,0.387
7,1 Layer,1,0.6787,0.3936
8,1 Layer,0,0.6649,0.3854
8,2 Layers,0,0.6766,0.3919
8,3 Layers,0,0.6766,0.3883
8,1 Layer,1,0.6649,0.3867
8,2 Layers,1,0.6723,0.3898
9,1 Layer,0,0.6691,0.3864
9,2 Layers,0,0.685,0.3885
9,3 Layers,0,0.6702,0.3808
9,1 Layer,1,0.666,0.3858
9,2 Layers,1,0.6681,0.3866
9,3 Layers,1,0.666,0.3866
10,1 Layer,0,0.6734,0.3914
10,2 Layers,0,0.6882,0.3834
10,3 Layers,0,0.667,0.392
10,1 Layer,1,0.6723,0.4
10,2 Layers,1,0.6596,0.386
10,3 Layers,1,0.6638,0.3884
