epoch,HR@10,NDCG@10,loss,run
0,0.1071,0.0506,,1
1,0.3881,0.2135,0.4571,1
2,0.509,0.2888,0.3293,1
3,0.5419,0.3132,0.2966,1
4,0.5769,0.3286,0.2824,1
5,0.5949,0.3396,0.2684,1
6,0.6214,0.3578,0.2566,1
7,0.6405,0.3648,0.2473,1
8,0.6341,0.3669,0.24,1
9,0.6341,0.3677,0.233,1
10,0.6394,0.3712,0.2275,1
11,0.6479,0.3731,0.2233,1
12,0.6469,0.3726,0.2196,1
13,0.6448,0.3718,0.2169,1
14,0.6448,0.3715,0.2142,1
15,0.6596,0.3796,0.2136,1
16,0.6554,0.3794,0.2126,1
17,0.6479,0.3801,0.2098,1
18,0.6426,0.3798,0.21,1
19,0.6448,0.3789,0.2086,1
20,0.6564,0.3857,0.2081,1
21,0.6543,0.3796,0.2069,1
22,0.6543,0.384,0.2058,1
23,0.6564,0.3833,0.2058,1
24,0.6596,0.3814,0.2052,1
25,0.6564,0.3888,0.2046,1
26,0.6479,0.3841,0.2042,1
27,0.6554,0.3877,0.2033,1
28,0.6554,0.3844,0.2035,1
29,0.649,0.3818,0.2025,1
30,0.649,0.3804,0.2029,1
31,0.6458,0.3816,0.2027,1
32,0.6532,0.384,0.2021,1
33,0.6532,0.3852,0.2013,1
34,0.649,0.3782,0.2021,1
35,0.6554,0.3786,0.2013,1
36,0.6564,0.3862,0.2012,1
37,0.6532,0.3841,0.2008,1
38,0.6543,0.3877,0.2005,1
39,0.6543,0.3825,0.1995,1
40,0.6607,0.3826,0.2003,1
41,0.6543,0.3784,0.2008,1
42,0.6426,0.3815,0.1998,1
43,0.6469,0.3783,0.1994,1
44,0.6501,0.3825,0.1995,1
45,0.6437,0.3852,0.1996,1
46,0.6469,0.3812,0.199,1
47,0.649,0.3814,0.1998,1
48,0.6394,0.383,0.1986,1
49,0.6511,0.388,0.1984,1
50,0.6469,0.382,0.1986,1
0,0.1039,0.0512,,2
1,0.4008,0.2193,0.4509,2
2,0.5058,0.2923,0.3209,2
3,0.5514,0.3203,0.2936,2
4,0.5981,0.3337,0.2782,2
5,0.6119,0.3433,0.2663,2
6,0.6288,0.3541,0.2567,2
7,0.6267,0.3591,0.2497,2
8,0.6373,0.3623,0.2422,2
9,0.6416,0.3679,0.2364,2
10,0.6458,0.3691,0.2308,2
11,0.649,0.381,0.2265,2
12,0.6501,0.3816,0.2225,2
13,0.6554,0.3838,0.2196,2
14,0.6564,0.3833,0.2168,2
15,0.6596,0.3848,0.2146,2
16,0.6734,0.3922,0.2139,2
17,0.6575,0.3853,0.2118,2
18,0.6628,0.3916,0.2097,2
19,0.6638,0.3885,0.2091,2
20,0.6607,0.3859,0.2088,2
21,0.6638,0.3857,0.2082,2
22,0.6617,0.3893,0.2071,2
23,0.6638,0.3872,0.2063,2
