epoch,HR@10,NDCG@10,loss,run
0,0.1156,0.0511,,1
1,0.4995,0.2886,0.371,1
2,0.596,0.3359,0.2916,1
3,0.6129,0.3456,0.2663,1
4,0.6352,0.357,0.2507,1
5,0.649,0.3703,0.239,1
6,0.6596,0.3771,0.2299,1
7,0.6649,0.3836,0.2243,1
8,0.6607,0.3827,0.219,1
9,0.6681,0.3909,0.2147,1
10,0.6734,0.3977,0.2123,1
11,0.6628,0.3929,0.2085,1
12,0.6755,0.3865,0.2068,1
13,0.6734,0.3901,0.2054,1
14,0.6766,0.3933,0.2026,1
15,0.6766,0.3895,0.201,1
16,0.6734,0.3946,0.2007,1
17,0.6607,0.3834,0.1981,1
18,0.6638,0.3879,0.1976,1
19,0.6596,0.3838,0.1964,1
20,0.6638,0.3881,0.1951,1
21,0.6596,0.3849,0.1937,1
22,0.6564,0.3863,0.1924,1
23,0.6522,0.3833,0.1915,1
24,0.667,0.3835,0.1902,1
25,0.6564,0.3839,0.1884,1
26,0.6532,0.3868,0.1884,1
27,0.6448,0.3888,0.1874,1
28,0.6628,0.3916,0.1866,1
29,0.6628,0.3908,0.1862,1
30,0.6585,0.3956,0.1851,1
31,0.6628,0.3935,0.1841,1
32,0.6554,0.3925,0.1841,1
33,0.6596,0.3943,0.183,1
34,0.6501,0.3884,0.1829,1
35,0.6628,0.3958,0.1817,1
36,0.6532,0.392,0.1815,1
37,0.6607,0.3913,0.1805,1
38,0.6554,0.3908,0.1792,1
39,0.6628,0.3922,0.1786,1
40,0.6564,0.3849,0.1792,1
41,0.6479,0.3851,0.1779,1
42,0.6469,0.3862,0.1772,1
43,0.6532,0.387,0.1762,1
44,0.6511,0.3818,0.1762,1
45,0.6511,0.3845,0.1755,1
46,0.6564,0.382,0.1741,1
47,0.6469,0.3815,0.1744,1
48,0.6405,0.3837,0.173,1
49,0.6448,0.3821,0.1726,1
50,0.649,0.3845,0.1722,1
0,0.1007,0.0467,,2
1,0.4952,0.2798,0.376,2
2,0.5822,0.3312,0.292,2
3,0.6257,0.3539,0.2643,2
4,0.6373,0.3611,0.2475,2
5,0.6511,0.3726,0.237,2
6,0.666,0.3853,0.229,2
7,0.6596,0.3835,0.2233,2
8,0.6755,0.3864,0.218,2
9,0.6628,0.3827,0.2139,2
10,0.6723,0.3872,0.2111,2
11,0.6734,0.388,0.2087,2
12,0.6691,0.3842,0.206,2
13,0.6585,0.3818,0.2044,2
14,0.6596,0.3838,0.203,2
15,0.6681,0.3839,0.201,2
16,0.6713,0.3885,0.1998,2
17,0.6585,0.382,0.1987,2
18,0.6713,0.3943,0.1967,2
19,0.6744,0.3925,0.1962,2
20,0.6691,0.3872,0.195,2
21,0.6638,0.3865,0.1933,2
22,0.6575,0.3799,0.1932,2
23,0.6585,0.3827,0.1917,2
24,0.6585,0.3828,0.1906,2
25,0.6405,0.3695,0.1896,2
26,0.6575,0.3756,0.1888,2
27,0.6564,0.3743,0.1882,2
28,0.6607,0.3758,0.1876,2
29,0.6585,0.3767,0.1869,2
30,0.6564,0.3821,0.1866,2
31,0.6575,0.3786,0.1844,2
32,0.6575,0.3746,0.1851,2
33,0.6458,0.3714,0.1843,2
34,0.6554,0.379,0.1839,2
35,0.6426,0.3794,0.1827,2
36,0.6543,0.3854,0.1813,2
37,0.6522,0.383,0.181,2
38,0.6628,0.3853,0.1813,2
39,0.6575,0.3827,0.1803,2
40,0.6607,0.3781,0.1806,2
41,0.6405,0.3724,0.179,2
42,0.6532,0.3763,0.1797,2
43,0.6458,0.3731,0.1785,2
44,0.6522,0.3752,0.1775,2
45,0.6638,0.385,0.1772,2
46,0.6532,0.3776,0.1772,2
47,0.6543,0.3779,0.1773,2
48,0.6458,0.3718,0.176,2
49,0.6585,0.3798,0.1756,2
50,0.6458,0.3775,0.1753,2
0,0.0986,0.0417,,3
1,0.4899,0.2786,0.3724,3
2,0.5854,0.3307,0.2905,3
3,0.6267,0.359,0.2642,3
4,0.6469,0.3698,0.2482,3
5,0.6617,0.3798,0.2364,3
6,0.6617,0.3819,0.2295,3
7,0.6628,0.3938,0.2232,3
